,core,clock,l1size,l1assoc,l2size,l2assoc,latency,sim_seconds,sim_ticks
0,16,861482266.3875464,4kB,2,1024kB,8,2,0.001275,1274693247
0,16,861482266.3875464,4kB,2,1024kB,8,4,0.001311,1310814279
0,16,861482266.3875464,4kB,2,1024kB,32,2,0.001286,1285740162
0,16,861482266.3875464,4kB,2,1024kB,32,3,0.001289,1288527723
0,16,861482266.3875464,4kB,2,1024kB,32,4,0.001328,1327719600
0,16,861482266.3875464,4kB,2,1024kB,128,2,0.001267,1266529095
0,16,861482266.3875464,4kB,2,1024kB,128,3,0.001277,1277346132
0,16,861482266.3875464,4kB,2,1024kB,128,4,0.001291,1291242141
0,16,861482266.3875464,4kB,2,2048kB,8,2,0.001267,1266529095
0,16,861482266.3875464,4kB,2,2048kB,8,3,0.001277,1277346132
0,16,861482266.3875464,4kB,2,2048kB,8,4,0.001291,1291242141
0,16,861482266.3875464,4kB,2,2048kB,32,2,0.001267,1266529095
0,16,861482266.3875464,4kB,2,2048kB,32,3,0.001277,1277346132
0,16,861482266.3875464,4kB,2,2048kB,32,4,0.001291,1291242141
0,16,861482266.3875464,4kB,2,2048kB,128,2,0.001267,1266529095
0,16,861482266.3875464,4kB,2,2048kB,128,3,0.001277,1277346132
0,16,861482266.3875464,4kB,2,2048kB,128,4,0.001291,1291242141
0,16,862812769.6289905,4kB,4,1024kB,8,2,0.001251,1250942311
0,16,862812769.6289905,4kB,4,1024kB,8,3,0.001275,1275443571
0,16,862812769.6289905,4kB,4,1024kB,8,4,0.001293,1292851751
0,16,862812769.6289905,4kB,4,1024kB,32,2,0.001256,1255872697
0,16,862812769.6289905,4kB,4,1024kB,32,3,0.001276,1275997573
0,16,862812769.6289905,4kB,4,1024kB,32,4,0.001291,1291099343
0,16,862812769.6289905,4kB,4,1024kB,128,2,0.001242,1242349485
0,16,862812769.6289905,4kB,4,1024kB,128,4,0.001277,1277439369
0,16,862812769.6289905,4kB,4,2048kB,8,2,0.001242,1242349485
0,16,862812769.6289905,4kB,4,2048kB,8,4,0.001277,1277439369
0,16,862812769.6289905,4kB,4,2048kB,32,2,0.001242,1242349485
0,16,862812769.6289905,4kB,4,2048kB,32,4,0.001277,1277439369
0,16,862812769.6289905,4kB,4,2048kB,128,2,0.001242,1242349485
0,16,862812769.6289905,4kB,4,2048kB,128,4,0.001277,1277439369
0,16,847730625.1165628,8kB,2,1024kB,8,2,0.001271,1270599220
0,16,847730625.1165628,8kB,2,1024kB,8,4,0.001303,1303327700
0,16,847730625.1165628,8kB,2,1024kB,32,2,0.001254,1254181880
0,16,847730625.1165628,8kB,2,1024kB,32,3,0.001307,1306651760
0,16,847730625.1165628,8kB,2,1024kB,32,4,0.001293,1293285900
0,16,847730625.1165628,8kB,2,1024kB,128,3,0.001297,1297241260
0,16,847730625.1165628,8kB,2,1024kB,128,4,0.001297,1297447760
0,16,847730625.1165628,8kB,2,2048kB,8,3,0.001297,1297241260
0,16,847730625.1165628,8kB,2,2048kB,8,4,0.001297,1297447760
0,16,847730625.1165628,8kB,2,2048kB,32,3,0.001297,1297241260
0,16,847730625.1165628,8kB,2,2048kB,32,4,0.001297,1297447760
0,16,847730625.1165628,8kB,2,2048kB,128,3,0.001297,1297241260
0,16,847730625.1165628,8kB,2,2048kB,128,4,0.001297,1297447760
0,16,804906711.3121591,8kB,4,1024kB,8,2,0.001344,1344380544
0,16,804906711.3121591,8kB,4,1024kB,8,3,0.001349,1348943652
0,16,804906711.3121591,8kB,4,1024kB,8,4,0.001343,1343455254
0,16,804906711.3121591,8kB,4,1024kB,32,2,0.001284,1283821866
0,16,804906711.3121591,8kB,4,1024kB,32,3,0.001311,1310862690
0,16,804906711.3121591,8kB,4,1024kB,32,4,0.001351,1350891108
0,16,804906711.3121591,8kB,4,1024kB,128,2,0.001282,1281972528
0,16,804906711.3121591,8kB,4,1024kB,128,3,0.001333,1332803862
0,16,804906711.3121591,8kB,4,1024kB,128,4,0.001320,1319996358
0,16,804906711.3121591,8kB,4,2048kB,8,2,0.001282,1281972528
0,16,804906711.3121591,8kB,4,2048kB,8,3,0.001333,1332803862
0,16,804906711.3121591,8kB,4,2048kB,8,4,0.001320,1319996358
0,16,804906711.3121591,8kB,4,2048kB,32,2,0.001282,1281972528
0,16,804906711.3121591,8kB,4,2048kB,32,3,0.001333,1332803862
0,16,804906711.3121591,8kB,4,2048kB,32,4,0.001320,1319996358
0,16,804906711.3121591,8kB,4,2048kB,128,2,0.001282,1281972528
0,16,804906711.3121591,8kB,4,2048kB,128,3,0.001333,1332803862
0,16,804906711.3121591,8kB,4,2048kB,128,4,0.001320,1319996358
