command,core,clock,l1size,l1assoc,l2size,l2assoc,latency,sim_seconds,sim_ticks
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,8,2,0.010239,10238936787
/home/ubuntu/gem5/splash2/ocean/contiguous_partitions/OCEAN,16,861482266.3875464,4kB,2,1024kB,8,2,0.023894,23894175285
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,8,3,0.010257,10257260850
/home/ubuntu/gem5/splash2/lu/contiguous_blocks/LU,16,861482266.3875464,4kB,2,1024kB,8,2,0.053090,53090132535
/home/ubuntu/gem5/splash2/ocean/contiguous_partitions/OCEAN,16,861482266.3875464,4kB,2,1024kB,8,3,0.023952,23951551905
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,8,4,0.010280,10279610100
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,32,2,0.010201,10200673710
/home/ubuntu/gem5/splash2/ocean/contiguous_partitions/OCEAN,16,861482266.3875464,4kB,2,1024kB,8,4,0.023998,23998289121
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,32,3,0.010219,10219246227
/home/ubuntu/gem5/splash2/lu/contiguous_blocks/LU,16,861482266.3875464,4kB,2,1024kB,8,3,0.053398,53398381518
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,32,4,0.010239,10239416280
/home/ubuntu/gem5/splash2/ocean/contiguous_partitions/OCEAN,16,861482266.3875464,4kB,2,1024kB,32,2,0.023826,23825611269
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,128,2,0.010169,10168729956
/home/ubuntu/gem5/splash2/lu/contiguous_blocks/LU,16,861482266.3875464,4kB,2,1024kB,8,4,0.053707,53707250475
/home/ubuntu/gem5/splash2/ocean/contiguous_partitions/OCEAN,16,861482266.3875464,4kB,2,1024kB,32,3,0.023896,23895850608
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,128,3,0.010184,10184074893
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,1024kB,128,4,0.010209,10208898234
/home/ubuntu/gem5/splash2/radix/RADIX,16,861482266.3875464,4kB,2,2048kB,8,2,0.010054,10054105587
/home/ubuntu/gem5/splash2/lu/contiguous_blocks/LU,16,861482266.3875464,4kB,2,1024kB,32,2,0.053055,53054948430
/home/ubuntu/gem5/splash2/ocean/contiguous_partitions/OCEAN,16,861482266.3875464,4kB,2,1024kB,32,4,0.023942,23941594008
